,Name,Release_Year,Certificate,Running_time,Rating,MetaScores,Votes,Gross
0,Spider-Man: No Way Home,(2021),PG-13,148 min,8.8,71,358898,
1,The Matrix,(1999),R,136 min,8.7,73,1814956,$171.48M
2,Dune: Part One,(2021),PG-13,155 min,8.2,74,431131,
3,Home Alone,(1990),PG,103 min,7.6,63,542890,$285.76M
4,It's a Wonderful Life,(1946),PG,130 min,8.6,89,436660,
5,A Christmas Story,(1983),PG-13,93 min,7.9,77,144938,$20.61M
6,Die Hard,(1988),PG,132 min,8.2,72,843564,$83.01M
7,Harry Potter and the Sorcerer's Stone,(2001),PG-13,152 min,7.6,65,726749,$317.58M
8,Avengers: Endgame,(2019),R,181 min,8.4,78,989171,$858.37M
9,Spider-Man: Into the Spider-Verse,(2018),R,117 min,8.4,87,457819,$190.24M
10,Knives Out,(2019),PG-13,130 min,7.9,82,562975,$165.36M
11,The Shawshank Redemption,(1994),PG,142 min,9.3,80,2520639,$28.34M
12,Kingsman: The Secret Service,(2014),PG-13,129 min,7.7,60,629444,$128.26M
13,The Lord of the Rings: The Fellowship of the Ring,(2001),PG,178 min,8.8,92,1761336,$315.54M
14,Klaus,(2019),R,96 min,8.2,65,135351,
15,Harry Potter and the Goblet of Fire,(2005),R,157 min,7.7,81,589414,$290.01M
16,Little Women,(2019),PG-13,135 min,7.8,91,179088,$108.10M
17,The Godfather,(1972),PG-13,175 min,9.2,100,1735636,$134.97M
18,Blade Runner 2049,(2017),PG-13,164 min,8.0,81,522593,$92.05M
19,The Wolf of Wall Street,(2013),PG-13,180 min,8.2,75,1299016,$116.90M
20,Titanic,(1997),PG-13,194 min,7.8,75,1113490,$659.33M
21,Avengers: Infinity War,(2018),R,149 min,8.4,68,963700,$678.82M
22,The Dark Knight,(2008),PG-13,152 min,9.0,84,2470943,$534.86M
23,Interstellar,(2014),R,169 min,8.6,74,1667055,$188.02M
24,Harry Potter and the Deathly Hallows: Part 2,(2011),R,130 min,8.1,85,821596,$381.01M
25,The Big Short,(2015),PG,130 min,7.8,81,402288,$70.26M
26,CODA,(2021),R,111 min,8.1,75,32689,
27,Zack Snyder's Justice League,(2021),PG-13,242 min,8.1,54,354121,
28,Once Upon a Time in... Hollywood,(2019),R,161 min,7.6,83,660649,$142.50M
29,Harry Potter and the Prisoner of Azkaban,(2004),R,142 min,7.9,82,596046,$249.36M
30,Wind River,(2017),PG-13,107 min,7.7,73,233434,$33.80M
31,Inception,(2010),PG-13,148 min,8.8,74,2215771,$292.58M
32,Joker,(2019),PG,122 min,8.4,59,1122457,$335.45M
33,Gisaengchung,(2019),PG-13,132 min,8.6,96,701881,$53.37M
34,The Goonies,(1985),R,114 min,7.8,62,260496,$61.50M
35,The Hobbit: An Unexpected Journey,(2012),R,169 min,7.8,58,791280,$303.00M
36,Harry Potter and the Deathly Hallows: Part 1,(2010),PG-13,146 min,7.7,65,516100,$295.98M
37,Harry Potter and the Half-Blood Prince,(2009),PG-13,153 min,7.6,78,512832,$301.96M
38,The Lord of the Rings: The Return of the King,(2003),PG-13,201 min,8.9,94,1740211,$377.85M
39,A Star Is Born,(2018),R,136 min,7.6,88,363982,$215.29M
40,Jai Bhim,(2021),PG-13,164 min,9.4,0,165361,
41,Ghostbusters,(1984),PG-13,105 min,7.8,71,390970,$238.63M
42,1917,(2019),,119 min,8.3,78,520862,$159.23M
43,The Father,(I) (2020),,97 min,8.3,88,115436,
44,Forrest Gump,(1994),,142 min,8.8,82,1945284,$330.25M
45,Iron Man,(2008),,126 min,7.9,79,1004415,$318.41M
46,Pulp Fiction,(1994),,154 min,8.9,94,1942571,$107.93M
47,Casino Royale,(2006),,144 min,8.0,80,634046,$167.45M
48,Goodfellas,(1990),,146 min,8.7,90,1090650,$46.84M
49,Captain America: Civil War,(2016),,147 min,7.8,75,729854,$408.08M
